,날짜,종가,전일비,시가,고가,저가,거래량
1,2025.10.30,104100.0,"상승  3,600",102400.0,105800.0,102000.0,34365446.0
2,2025.10.29,100500.0,"상승  1,000",100200.0,101000.0,99100.0,20899788.0
3,2025.10.28,99500.0,"하락  2,500",100900.0,101000.0,99100.0,20002282.0
4,2025.10.27,102000.0,"상승  3,200",101300.0,102000.0,100600.0,22169970.0
5,2025.10.24,98800.0,"상승  2,300",97900.0,99000.0,97700.0,18801925.0
9,2025.10.23,96500.0,"하락  2,100",96800.0,98500.0,96300.0,18488581.0
10,2025.10.22,98600.0,"상승  1,100",97100.0,98600.0,95500.0,15937611.0
11,2025.10.21,97500.0,하락  600,98500.0,99900.0,97300.0,22803830.0
12,2025.10.20,98100.0,상승  200,97900.0,98300.0,96000.0,17589756.0
13,2025.10.17,97900.0,상승  200,97200.0,99100.0,96700.0,22730809.0
