³¯Â¥,Á¾°¡,ÀüÀÏºñ,½Ã°¡,°í°¡,Àú°¡,°Å·¡·®
1996.06.25,67500.0,º¸ÇÕ0,66500.0,68300.0,65600.0,112960.0
1996.06.26,67700.0,»ó½Â  200,67600.0,67900.0,66000.0,136630.0
1996.06.27,66900.0,ÇÏ¶ô  800,67500.0,67700.0,66700.0,155450.0
1996.06.28,68100.0,"»ó½Â  1,200",67300.0,68500.0,67200.0,138430.0
1996.06.29,68500.0,»ó½Â  400,68100.0,69100.0,67100.0,96710.0
1996.07.01,72000.0,"»ó½Â  3,500",69000.0,72300.0,68800.0,147310.0
1996.07.02,72900.0,»ó½Â  900,72000.0,74100.0,72000.0,276270.0
1996.07.03,72500.0,ÇÏ¶ô  400,72900.0,73200.0,71700.0,100330.0
1996.07.04,71900.0,ÇÏ¶ô  600,72800.0,73000.0,71500.0,80830.0
1996.07.05,71300.0,ÇÏ¶ô  600,72000.0,72300.0,71000.0,77960.0
1996.07.06,71500.0,»ó½Â  200,71300.0,72700.0,71300.0,35510.0
1996.07.08,70900.0,ÇÏ¶ô  600,71600.0,71600.0,70800.0,62100.0
1996.07.09,71700.0,»ó½Â  800,70900.0,71700.0,70100.0,64910.0
1996.07.10,70600.0,"ÇÏ¶ô  1,100",71700.0,72000.0,70500.0,99200.0
1996.07.11,68800.0,"ÇÏ¶ô  1,800",70600.0,70800.0,68500.0,109690.0
1996.07.12,68800.0,º¸ÇÕ0,68800.0,70000.0,68300.0,91420.0
1996.07.13,68900.0,»ó½Â  100,69000.0,69500.0,68900.0,59150.0
1996.07.15,68000.0,ÇÏ¶ô  900,69000.0,69500.0,68000.0,66490.0
1996.07.16,68800.0,»ó½Â  800,67000.0,69100.0,66500.0,55880.0
1996.07.18,70000.0,"»ó½Â  1,200",69000.0,72000.0,68900.0,222710.0
1996.07.19,74200.0,"»ó½Â  4,200",70000.0,74200.0,70000.0,179810.0
1996.07.20,76700.0,"»ó½Â  2,500",75700.0,78600.0,74200.0,298780.0
1996.07.22,75000.0,"ÇÏ¶ô  1,700",76100.0,77400.0,75000.0,178690.0
1996.07.23,74700.0,ÇÏ¶ô  300,75000.0,75200.0,73600.0,89150.0
1996.07.24,72500.0,"ÇÏ¶ô  2,200",74800.0,75500.0,72500.0,91300.0
1996.07.25,70000.0,"ÇÏ¶ô  2,500",71500.0,71900.0,69500.0,123880.0
1996.07.26,69800.0,ÇÏ¶ô  200,70000.0,71000.0,69600.0,102560.0
1996.07.27,70300.0,»ó½Â  500,69800.0,71000.0,69100.0,57160.0
1996.07.29,70800.0,»ó½Â  500,70300.0,71600.0,70300.0,57710.0
1996.07.30,70200.0,ÇÏ¶ô  600,70800.0,70800.0,69300.0,68800.0
1996.07.31,70000.0,ÇÏ¶ô  200,70200.0,70500.0,69700.0,65220.0
1996.08.01,70200.0,»ó½Â  200,71000.0,71000.0,70000.0,101810.0
1996.08.02,70100.0,ÇÏ¶ô  100,70200.0,70500.0,69800.0,67490.0
1996.08.03,70100.0,º¸ÇÕ0,70000.0,70100.0,69500.0,30090.0
1996.08.05,71000.0,»ó½Â  900,69900.0,71000.0,69800.0,48640.0
1996.08.06,71300.0,»ó½Â  300,70000.0,72000.0,70000.0,59640.0
1996.08.07,71300.0,º¸ÇÕ0,71300.0,71800.0,71000.0,61000.0
1996.08.08,73800.0,"»ó½Â  2,500",72000.0,75400.0,71600.0,226600.0
1996.08.09,71800.0,"ÇÏ¶ô  2,000",72500.0,73000.0,71500.0,160570.0
